,,,,,,,,,,,,,
,181,Florida Atlantic,CUSA,13-10,-1.14,101.9,103.1,68.1,-0.098,-1.5,101.2,102.7,-0.22
,182,Gardner Webb,BSth,11-15,-1.18,104.5,105.6,66.7,-0.165,-3.83,100.3,104.2,12.76
,183,Texas St.,SB,18-7,-1.23,99.6,100.8,62.4,0.072,-5.94,98.6,104.6,-7.87
,184,Harvard,Ivy,0-0,-1.31,101.9,103.2,68.1,0,-99,0,200,-99
,185,Bryant,NEC,15-7,-1.5,103.2,104.7,74,-0.044,-7.65,98.2,105.9,4.63
,186,Siena,MAAC,12-5,-2.05,99.8,101.8,66.2,-0.057,-7.28,96.7,104,-99
,187,Hawaii,BW,11-10,-2.2,101.7,103.9,66.9,-0.02,0.65,101.8,101.1,-99
,188,Rice,CUSA,15-13,-2.31,103.9,106.2,69.3,0.039,2.38,102.1,99.7,-11.86
,189,Montana,BSky,15-13,-2.35,98.8,101.2,65.7,0.009,2.56,104.7,102.1,19.82
,190,Hofstra,CAA,13-10,-2.55,105.9,108.4,68.1,0.052,-1.31,101.6,102.9,5.15
,191,Fresno St.,MWC,12-12,-2.64,99.6,102.2,65.8,0.065,4.63,104.5,99.9,-99
,192,Southern Illinois,MVC,12-14,-2.89,100,102.8,66.2,0.075,4.76,104.4,99.7,-4.3
,193,Valparaiso,MVC,10-18,-2.94,96.6,99.5,67,-0.028,6.33,105.7,99.4,5.09
,194,Hartford 16,AE,15-9,-2.98,97,100,66.9,0.081,-5.09,99.2,104.3,-0.17
,195,San Diego,WCC,3-11,-3.22,97.4,100.7,70.2,-0.025,10.79,108.1,97.3,9.58
,196,Nicholls St.,Slnd,18-7,-3.35,100.4,103.7,71.6,0.121,-6.96,98.6,105.6,8.56
,197,Army,Pat,12-10,-3.47,98.1,101.6,68.4,0.034,-1.17,103.3,104.5,2.78
,198,Illinois St.,MVC,7-18,-3.62,98.7,102.3,69,-0.112,5.34,105.4,100.1,1.99
,199,Utah Valley,WAC,11-11,-3.75,100.5,104.3,70.2,0.007,0.6,103.2,102.6,12.48
,200,La Salle,A10,9-16,-3.83,101.8,105.6,68.5,-0.012,7.06,104.7,97.6,5.97
,201,Louisiana,SB,17-9,-3.89,100.3,104.2,71,0.096,-3.74,100.4,104.1,-1.65
,202,Saint Joseph's,A10,5-15,-3.98,101.2,105.1,72.1,0.027,10.62,107.8,97.2,15.47
,203,UMKC,Sum,11-13,-3.99,96.2,100.2,62.5,-0.074,1.37,104.6,103.2,11.29
,204,Evansville,MVC,9-16,-4.12,105.8,109.9,62,0.011,4,103.5,99.5,-4.4
,205,Elon,CAA,10-9,-4.14,96.7,100.9,66.5,0.014,-1.59,102.1,103.7,-4.32
,206,Northern Kentucky,Horz,14-11,-4.17,103.8,108,64.7,0.056,-2.82,102.2,105,3.87
,207,Montana St.,BSky,13-10,-4.19,99.4,103.6,68.2,0.055,-1.12,102.4,103.6,5.66
,208,Texas Southern 16,SWAC,17-9,-4.37,99.8,104.2,71.5,0.059,-7.73,95.5,103.2,14.62
,209,UC Davis,BW,10-8,-4.37,98,102.3,69.2,0.087,-1.01,101.7,102.7,-0.67
,210,Norfolk St. 16,MEAC,17-8,-4.47,99.1,103.6,67.5,0.09,-7.09,98.1,105.2,-0.76
,211,Campbell,BSth,17-10,-4.64,102.9,107.6,63.9,0.064,-5.23,99,104.3,-1.81
,212,Appalachian St. 16,SB,17-12,-4.71,98.4,103.1,65.5,0.039,-2.83,100.4,103.3,5.52
,213,Seattle,WAC,12-11,-4.96,98.6,103.5,68.8,-0.036,-1.24,102.7,103.9,-1.33
,214,Loyola MD,Pat,6-11,-5.02,96.8,101.8,68.4,-0.19,-4.36,101.9,106.3,-99
,215,Austin Peay,OVC,14-13,-5.04,104,109,66.8,-0.071,-5.33,98.6,103.9,-1.46
,216,Milwaukee,Horz,10-12,-5.05,101.8,106.9,69.8,-0.01,-2.14,101.9,104.1,0.69
,217,South Alabama,SB,17-11,-5.08,103.3,108.4,66.5,0.043,-3.09,99.2,102.3,-1.13
,218,The Citadel,SC,13-12,-5.13,104,109.1,74.2,0.064,2.53,104.2,101.6,-10.53
,219,Penn,Ivy,0-0,-5.13,100.2,105.3,69.2,0,-99,0,200,-99
,220,Cornell,Ivy,0-0,-5.2,101.3,106.5,66.8,0,-99,0,200,-99
,221,Oakland,Horz,12-18,-5.28,103.9,109.2,69.6,0.046,2.29,105.4,103.1,19.69
,222,Saint Peter's,MAAC,14-11,-5.37,90.4,95.8,66.7,-0.006,-6.37,98.3,104.6,3.94
,223,Morgan St.,MEAC,14-8,-5.71,100,105.7,71.9,-0.037,-8.44,95.8,104.3,0.09
,224,Wagner,NEC,13-7,-5.72,100.8,106.5,65.5,0.068,-8.56,97.8,106.4,19.76
,225,Delaware,CAA,7-8,-6.08,97,103.1,66.5,-0.069,-4.03,101.9,105.9,-2.15
,226,Monmouth,MAAC,12-8,-6.09,99,105.1,74.2,0.05,-6.16,96.9,103.1,-3.73
,227,George Washington,A10,5-12,-6.17,101.6,107.8,67.8,-0.094,0.63,99.9,99.2,-6.36
,228,Northern Colorado,BSky,11-11,-6.19,99,105.1,67.8,-0.004,-2.05,100.8,102.9,14.75
,229,Cal Baptist,WAC,13-10,-6.23,104.3,110.6,70.5,-0.016,-4.46,99.8,104.2,-8.93
,230,UMass Lowell,AE,11-12,-6.29,99.8,106.1,69,0.055,-1.81,100.3,102.1,12.68
,231,UC San Diego,BW,7-10,-6.29,101.7,108,69.7,0.023,6.01,104,98,6.01
,232,Charleston,CAA,9-10,-6.35,102.2,108.6,63.5,-0.03,-2.06,101.5,103.6,2.49
,233,Stetson,ASun,12-15,-6.46,100.3,106.8,67.8,-0.006,-2.07,101.7,103.8,8.03
,234,Charlotte,CUSA,9-16,-6.49,97.3,103.8,62.7,-0.032,0.99,102.5,101.5,-4.6
,235,Prairie View A&M,SWAC,16-5,-6.51,94.6,101.2,69.2,0.111,-13.88,93.3,107.2,7.32
,236,Stony Brook,AE,9-14,-6.61,94.7,101.3,66.4,-0.09,-3.12,100.2,103.3,2.2
,237,Mount St. Mary's 16,NEC,12-11,-6.62,94.5,101.1,61.6,-0.004,-6.45,99.4,105.9,11.14
,238,Lipscomb,ASun,15-12,-6.74,100.9,107.7,66,0.024,-3.63,100.2,103.8,3.14
,239,Little Rock,SB,11-15,-6.86,98.4,105.3,67,-0.04,-2.76,99.8,102.6,3.86
,240,Albany,AE,7-9,-6.91,97.3,104.2,69.6,-0.079,-4.5,98.9,103.4,-3.88
,241,Western Carolina,SC,11-16,-7.07,99.9,106.9,70.5,0.031,1.92,104.4,102.5,-3.78
,242,Long Beach St.,BW,6-12,-7.12,97.6,104.7,73.7,-0.011,0.68,102.4,101.7,4.92
,243,Radford,BSth,15-12,-7.12,97.7,104.8,63.5,0.023,-4.51,100.1,104.6,8.22
,244,UNC Asheville,BSth,10-10,-7.13,100.6,107.8,68.2,-0.008,-5.46,99.4,104.9,-4.57
,245,Portland St.,BSky,9-13,-7.17,93.1,100.3,69.2,-0.135,-2.41,101.1,103.6,10.17
,246,Youngstown St.,Horz,15-12,-7.31,102.2,109.5,67.6,0.032,-4.05,102,106,-9.99
,247,Longwood,BSth,12-17,-7.33,98,105.4,65,-0.027,-4.04,100.4,104.5,1.92
,248,UNC Wilmington,CAA,7-10,-7.42,102.1,109.5,69,-0.122,-4.61,100.1,104.7,-2.07
,249,Brown,Ivy,0-0,-7.7,95.2,102.9,69.7,0,-99,0,200,-99
,250,Niagara,MAAC,9-11,-7.71,99.8,107.5,64.5,-0.041,-5.72,96.5,102.2,10.14
,251,Canisius,MAAC,7-6,-7.82,99.1,107,70.6,0.058,-5.54,96,101.6,-99
,252,Arkansas St.,SB,11-13,-7.84,99.2,107,67.6,-0.041,-3.6,99.4,103,8.54
,253,UT Arlington,SB,13-13,-7.87,98.2,106.1,69.2,0.051,-2.71,99.8,102.5,12.89
,254,Sacramento St.,BSky,8-12,-7.93,102.4,110.3,65.3,-0.03,0.63,103.2,102.5,4.37
,255,Cal St. Fullerton,BW,6-10,-8.09,101.6,109.6,71.8,-0.044,-0.03,102.3,102.3,-1.35
,256,Southern Miss,CUSA,8-17,-8.19,92.9,101.1,67.4,-0.078,1.08,102.1,101,-5.63
,257,Green Bay,Horz,8-17,-8.28,102.3,110.6,65.9,-0.042,-1.16,103.2,104.3,13.51
,258,Idaho St.,BSky,13-11,-8.54,93.7,102.2,64.2,0,-2.49,101.1,103.6,5.63
,259,Cal St. Northridge,BW,9-13,-8.79,101.7,110.4,70.1,0.059,1.03,102.3,101.3,3.97
,260,Boston University,Pat,7-11,-8.93,100.3,109.3,65.6,0.008,-2.16,102.5,104.6,-99
,261,Tarleton St.,WAC,10-10,-8.95,97,105.9,64.4,-0.052,0.81,102,101.2,11.46
,262,Lafayette,Pat,9-6,-9.08,102.9,112,68.6,0.062,-8.82,96.6,105.4,-99
,263,IUPUI,Horz,8-10,-9.37,96.2,105.5,72.1,0.076,-2.49,102.1,104.5,-15.79
,264,Samford,SC,6-13,-9.49,96.5,106,72.7,-0.035,2.79,104.1,101.3,-3.32
,265,Jackson St.,SWAC,12-6,-9.62,88.1,97.7,68.4,0.111,-12.38,93.8,106.2,13.02
,266,Marist,MAAC,12-9,-9.69,91.6,101.3,66.1,0.082,-7.36,97.2,104.5,-13.45
,267,American,Pat,4-6,-9.74,96.5,106.2,67.4,0.065,-1.53,101,102.5,-99
,268,New Hampshire,AE,10-9,-9.83,96,105.8,66.4,0.056,-6.27,97.3,103.6,-4.42
,269,Southeast Missouri St.,OVC,11-16,-10.05,95.5,105.5,68.4,-0.003,-4.48,99.9,104.3,-0.5
,270,Georgia Southern,SB,13-13,-10.11,94.1,104.2,66.6,0.032,-3.37,100.4,103.7,-1.33
,271,LIU,NEC,9-9,-10.34,93.4,103.7,73.7,-0.021,-9.13,98.2,107.4,-99
,272,North Dakota,Sum,9-17,-10.39,97.7,108.1,67.1,0.077,0.98,104.3,103.3,5.95
,273,North Alabama,ASun,13-11,-10.48,94.7,105.2,70.6,0.051,-4.68,100.6,105.3,2.8
,274,Western Michigan,MAC,5-16,-10.48,94.7,105.2,66,-0.036,4.37,106.4,102.1,5.17
,275,Dartmouth,Ivy,0-0,-10.7,94.8,105.5,66.6,0,-99,0,200,-99
,276,Bucknell,Pat,5-7,-10.71,97.3,108,71.8,-0.018,-6.93,99.8,106.7,-99
,277,Florida A&M,MEAC,8-12,-10.72,90.2,100.9,68.4,-0.011,-6.24,98.8,105,13.05
,278,New Orleans,Slnd,10-15,-10.73,97.3,108.1,72.4,-0.093,-8.05,98.7,106.8,2.41
,279,Florida Gulf Coast,ASun,10-8,-10.92,93.5,104.4,70.6,0.072,-6.14,99,105.1,-5.02
,280,Purdue Fort Wayne,Horz,8-15,-10.97,100.3,111.2,69.5,-0.025,-3.72,102.2,105.9,-19.28
,281,Central Michigan,MAC,7-16,-11.04,100.2,111.3,72.1,-0.046,1.08,103.7,102.6,-6.06
,282,UT Rio Grande Valley,WAC,9-10,-11.05,91.8,102.8,69.6,-0.05,-3.66,99.8,103.4,-1.17
,283,North Carolina A&T,MEAC,11-10,-11.09,95.6,106.7,70.6,0.078,-4.98,97.8,102.8,2.87
,284,High Point,BSth,9-15,-11.2,96.1,107.3,66.1,-0.033,-4.75,99.8,104.6,0.18
,285,Quinnipiac,MAAC,9-13,-11.21,89.6,100.8,72,-0.042,-7.27,97.6,104.9,-5.16
,286,Columbia,Ivy,0-0,-11.25,94.7,105.9,68.9,0,-99,0,200,-99
,287,Merrimack,NEC,9-9,-11.37,90.7,102.1,66.5,0.014,-9.01,98.6,107.6,-99
,288,Illinois Chicago,Horz,9-13,-11.42,93.1,104.5,68.2,0.05,-3.33,102.4,105.8,-1.09
,289,Eastern Michigan,MAC,6-12,-11.42,97.1,108.5,68.1,-0.039,5.33,106.9,101.6,18.07
,290,Western Illinois,Sum,7-15,-11.43,98,109.4,71.5,-0.01,-0.67,104,104.7,-0.24
,291,Coppin St.,MEAC,9-13,-11.69,91,102.6,76.8,0.073,-2.62,101.4,104,7.19
,292,FIU,CUSA,9-17,-11.81,97.3,109.1,70.3,-0.09,-0.33,101.9,102.2,-7.66
,293,Jacksonville,ASun,11-13,-11.85,93.7,105.5,67.6,0.05,-4.53,100.4,104.9,-4.87
,294,New Mexico,MWC,6-16,-11.86,91.6,103.5,67.7,-0.039,3.6,104.6,101,-4.14
,295,NJIT,AE,7-12,-12.08,94.2,106.2,68.2,0.024,-4.29,98.8,103.1,-0.5
,296,Louisiana Monroe,SB,7-19,-12.16,93.2,105.4,67.1,-0.04,-3.63,99.7,103.3,-2.77
,297,North Florida,ASun,8-15,-12.34,101.9,114.2,66.5,0.036,-1.84,100.7,102.5,4.38
,298,Towson,CAA,4-14,-12.35,99,111.4,65.8,-0.022,-0.5,102.4,102.9,8.63
,299,Fairleigh Dickinson,NEC,9-15,-12.39,100.7,113.1,70.6,0.017,-6.04,98.9,104.9,3.84
,300,Nebraska Omaha,Sum,5-20,-12.44,94.6,107,70.7,-0.017,2.38,104.3,101.9,10.2
,301,St. Francis NY,NEC,9-10,-12.46,100.9,113.4,72.5,0.03,-8.66,97.1,105.7,-6.68
,302,William & Mary,CAA,7-10,-12.46,94.8,107.3,68.1,0.106,-0.79,103.1,103.8,0.32
,303,Robert Morris,Horz,4-15,-12.51,98.1,110.6,67.3,-0.053,-0.61,104.7,105.3,8.17
,304,Holy Cross,Pat,5-11,-12.55,97.2,109.8,69.1,-0.047,-2.51,102,104.5,-99
,305,Troy,SB,11-17,-12.62,92.4,105,68.2,0.036,-0.78,101.2,102,3.59
,306,Middle Tennessee,CUSA,5-18,-12.66,91.2,103.9,69.2,-0.035,2.63,102.6,99.9,0.99
,307,Lamar,Slnd,10-18,-12.82,93.1,105.9,67.5,0.009,-4.23,99.3,103.5,2.64
,308,Southern,SWAC,8-11,-12.84,91.5,104.3,70.6,-0.075,-12.47,93.4,105.9,17.22
,309,Fairfield,MAAC,10-17,-12.92,94.9,107.8,64.3,0.005,-5.31,96.9,102.2,-0.56
,310,Fordham,A10,2-12,-12.93,86.3,99.3,63.7,0.018,6.28,105.8,99.5,-99
,311,Eastern Illinois,OVC,9-18,-13.22,95.5,108.7,68.9,-0.004,-3.67,100.9,104.6,2.66
,312,St. Francis PA,NEC,6-16,-13.27,94.7,108,68.5,-0.066,-5.49,99.9,105.4,13.07
,313,Tennessee Tech,OVC,5-22,-13.9,96,109.9,68.8,-0.055,0.13,102.4,102.2,10.77
,314,Howard,MEAC,1-4,-13.94,98.2,112.2,69.5,0.102,-1.12,103.6,104.7,-1.12
,315,Manhattan,MAAC,7-13,-14.18,89.5,103.7,67.1,-0.006,-7.27,96.6,103.8,-19.54
,316,Rider,MAAC,6-17,-14.19,99.5,113.7,67.6,-0.041,-4.09,97.4,101.4,10.52
,317,Northwestern St.,Slnd,11-18,-14.21,96.7,110.9,70.8,0.077,-3.41,101.1,104.5,15.36
,318,Grambling St.,SWAC,12-12,-14.24,92.1,106.3,69.8,0.036,-10.43,94,104.4,8.61
,319,Northern Arizona,BSky,6-16,-14.31,98.4,112.7,63.9,0.038,1.69,103.4,101.7,12.79
,320,Tennessee St.,OVC,4-19,-14.65,90.2,104.9,71.2,-0.103,-3.65,100.7,104.3,-2.67
,321,Portland,WCC,6-15,-14.72,97.1,111.8,71,0.054,9.28,106.9,97.6,3.26
,322,USC Upstate,BSth,5-18,-14.75,94.8,109.5,68.3,-0.032,-2.37,100.6,103,7.84
,323,SIU Edwardsville,OVC,9-17,-14.8,92.6,107.4,68.2,0.008,-2.48,101.3,103.8,3.48
,324,Sacred Heart,NEC,9-9,-15.26,98.2,113.5,66.2,0.13,-7.28,98.1,105.4,22.79
,325,Binghamton,AE,4-14,-15.31,97.2,112.5,65.9,-0.095,-4.07,98.4,102.4,-8.19
,326,Presbyterian,BSth,7-15,-15.46,90.6,106.1,65.7,-0.057,-6.62,99,105.6,-10.52
,327,Hampton,BSth,11-14,-15.71,94.9,110.6,70.4,0.118,-7.39,98.6,106,-3.36
,328,Dixie St.,WAC,8-13,-15.71,91.3,107,73.1,0.07,-2.34,101.3,103.7,-2.47
,329,Cal Poly,BW,4-20,-15.85,90.1,105.9,66.8,0.015,2.76,103,100.2,-0.1
,330,North Carolina Central,MEAC,5-9,-16.21,93.3,109.5,65.9,0.033,-6.13,96.5,102.6,12.85
,331,Central Arkansas,Slnd,5-19,-16.26,97.6,113.8,70.9,-0.018,1.85,102.8,101,21.14
,332,Air Force,MWC,5-20,-16.51,94.4,110.9,62.8,0.028,4.35,104.6,100.3,-2.18
,333,San Jose St.,MWC,5-16,-16.79,95.5,112.3,71.8,0.006,5.92,104,98.1,2.69
,334,Lehigh,Pat,4-11,-17.39,91.6,109,70,0.063,-5.82,101,106.8,-99
,335,Kennesaw St.,ASun,5-19,-17.57,87.8,105.4,69.3,-0.088,-1.56,102.9,104.4,8.8
,336,Southeastern Louisiana,Slnd,8-18,-17.92,92.9,110.8,68.6,0.043,-5.13,100.2,105.4,5.34
,337,Northern Illinois,MAC,3-16,-17.94,93.3,111.2,65.4,-0.003,2.98,105.4,102.4,-5.23
,338,Denver,Sum,2-19,-18.4,94.2,112.6,70.9,-0.105,-2.88,101.5,104.4,-5.27
,339,Charleston Southern,BSth,3-18,-18.49,89.8,108.3,69.6,-0.049,-3.32,100.8,104.1,1.74
,340,McNeese St.,Slnd,10-14,-18.77,95.7,114.5,68.5,-0.09,-9.21,97.6,106.8,6.78
,341,Houston Baptist,Slnd,6-19,-18.9,92.5,111.4,72.6,-0.003,-2.99,100.6,103.6,11.53
,342,Alcorn St.,SWAC,6-13,-19.09,91.1,110.2,69.5,-0.026,-8.11,96.1,104.2,22.33
,343,Incarnate Word,Slnd,8-14,-19.09,93.6,112.7,64.7,-0.049,-7.08,98.2,105.3,7.53
,344,Texas A&M Corpus Chris,Slnd,5-19,-19.44,89.4,108.8,69.6,-0.093,-3.59,99.1,102.7,3.71
,345,Central Connecticut,NEC,5-16,-19.46,92.5,112,70.3,0.003,-6.27,99,105.2,7.82
,346,Maine,AE,2-7,-20,85.9,105.9,64.5,0.028,-0.78,100.9,101.6,6.69
,347,Tennessee Martin,OVC,8-16,-21,92.3,113.3,67.4,0.122,-2.64,101.2,103.8,-0.86
,348,Alabama A&M,SWAC,6-9,-21.04,84.8,105.8,67.5,0.018,-11.82,93.6,105.4,-5.52
,349,Bethune Cookman,MEAC,0-0,-22.53,90.1,112.7,72.3,0,-99,0,200,-99
,350,Idaho,BSky,1-21,-23.01,90.6,113.6,66.8,-0.021,0.42,102.9,102.5,15.56
,351,Arkansas Pine Bluff,SWAC,4-21,-23.47,91.2,114.7,67,-0.086,-3.36,97.6,100.9,15.77
,352,Delaware St.,MEAC,3-16,-24.53,90.9,115.4,73.3,-0.064,-3.65,98.9,102.6,2.33
,353,South Carolina St.,MEAC,1-17,-25.23,87.2,112.4,71.6,-0.109,-4.49,98.3,102.8,2.06
,354,Alabama St.,SWAC,4-14,-25.94,84.4,110.3,70.8,-0.049,-14.36,91.6,105.9,-99
,355,Maryland Eastern Shore,MEAC,0-0,-27.6,83.9,111.5,67.8,0,-99,0,200,-99
,356,Chicago St.,WAC,0-9,-29.85,88.3,118.1,67.5,-0.006,9.06,106.6,97.6,9.06
,357,Mississippi Valley St.,SWAC,2-22,-41.29,79.4,120.7,71.1,0.04,-3.93,97.7,101.6,16.42